link_id,application_name,source_screen_id,source_element_id,target_screen_id,participant_id,rating
2,shaeds,407:6513,407:6538,407:6472,29,5
2,shaeds,407:6513,407:6538,407:6472,30,5
2,shaeds,407:6513,407:6538,407:6472,31,5
2,shaeds,407:6513,407:6538,407:6472,32,5
2,shaeds,407:6513,407:6538,407:6472,33,5
2,shaeds,407:6513,407:6538,407:6472,34,4
2,shaeds,407:6513,407:6538,407:6472,35,5
2,shaeds,407:6513,407:6538,407:6472,36,5
3,shaeds,407:6491,407:6507,407:6513,1,5
3,shaeds,407:6491,407:6507,407:6513,2,5
3,shaeds,407:6491,407:6507,407:6513,3,5
3,shaeds,407:6491,407:6507,407:6513,4,5
3,shaeds,407:6491,407:6507,407:6513,5,5
3,shaeds,407:6491,407:6507,407:6513,6,5
3,shaeds,407:6491,407:6507,407:6513,7,5
3,shaeds,407:6491,407:6507,407:6513,8,5
3,shaeds,407:6491,407:6507,407:6513,9,2
3,shaeds,407:6491,407:6507,407:6513,10,5
3,shaeds,407:6491,407:6507,407:6513,11,5
3,shaeds,407:6491,407:6507,407:6513,12,5
3,shaeds,407:6491,407:6507,407:6513,13,5
3,shaeds,407:6491,407:6507,407:6513,14,2
3,shaeds,407:6491,407:6507,407:6513,15,2
3,shaeds,407:6491,407:6507,407:6513,16,5
3,shaeds,407:6491,407:6507,407:6513,17,1
3,shaeds,407:6491,407:6507,407:6513,18,5
3,shaeds,407:6491,407:6507,407:6513,19,1
3,shaeds,407:6491,407:6507,407:6513,20,2
3,shaeds,407:6491,407:6507,407:6513,21,5
3,shaeds,407:6491,407:6507,407:6513,22,5
3,shaeds,407:6491,407:6507,407:6513,23,5
3,shaeds,407:6491,407:6507,407:6513,24,5
3,shaeds,407:6491,407:6507,407:6513,25,5
3,shaeds,407:6491,407:6507,407:6513,26,5
3,shaeds,407:6491,407:6507,407:6513,27,4
3,shaeds,407:6491,407:6507,407:6513,28,4
3,shaeds,407:6491,407:6507,407:6513,29,5
3,shaeds,407:6491,407:6507,407:6513,30,5
3,shaeds,407:6491,407:6507,407:6513,31,2
3,shaeds,407:6491,407:6507,407:6513,32,2
3,shaeds,407:6491,407:6507,407:6513,33,5
3,shaeds,407:6491,407:6507,407:6513,34,5
3,shaeds,407:6491,407:6507,407:6513,35,5
3,shaeds,407:6491,407:6507,407:6513,36,5
4,shaeds,407:6491,407:6503,407:6472,1,5
4,shaeds,407:6491,407:6503,407:6472,2,5
4,shaeds,407:6491,407:6503,407:6472,3,5
4,shaeds,407:6491,407:6503,407:6472,4,5
4,shaeds,407:6491,407:6503,407:6472,5,5
4,shaeds,407:6491,407:6503,407:6472,6,3
4,shaeds,407:6491,407:6503,407:6472,7,5
4,shaeds,407:6491,407:6503,407:6472,8,5
4,shaeds,407:6491,407:6503,407:6472,9,2
4,shaeds,407:6491,407:6503,407:6472,10,5
4,shaeds,407:6491,407:6503,407:6472,11,5
4,shaeds,407:6491,407:6503,407:6472,12,4
4,shaeds,407:6491,407:6503,407:6472,13,5
4,shaeds,407:6491,407:6503,407:6472,14,4
4,shaeds,407:6491,407:6503,407:6472,15,5
4,shaeds,407:6491,407:6503,407:6472,16,5
4,shaeds,407:6491,407:6503,407:6472,17,5
4,shaeds,407:6491,407:6503,407:6472,18,5
4,shaeds,407:6491,407:6503,407:6472,19,4
4,shaeds,407:6491,407:6503,407:6472,20,5
4,shaeds,407:6491,407:6503,407:6472,21,5
4,shaeds,407:6491,407:6503,407:6472,22,5
4,shaeds,407:6491,407:6503,407:6472,23,4
4,shaeds,407:6491,407:6503,407:6472,24,5
4,shaeds,407:6491,407:6503,407:6472,25,5
4,shaeds,407:6491,407:6503,407:6472,26,5
4,shaeds,407:6491,407:6503,407:6472,27,4
4,shaeds,407:6491,407:6503,407:6472,28,5
4,shaeds,407:6491,407:6503,407:6472,29,5
4,shaeds,407:6491,407:6503,407:6472,30,4
4,shaeds,407:6491,407:6503,407:6472,31,5
4,shaeds,407:6491,407:6503,407:6472,32,5
4,shaeds,407:6491,407:6503,407:6472,33,5
4,shaeds,407:6491,407:6503,407:6472,34,4
4,shaeds,407:6491,407:6503,407:6472,35,4
4,shaeds,407:6491,407:6503,407:6472,36,5
5,shaeds,407:6472,407:6481,407:6491,1,5
5,shaeds,407:6472,407:6481,407:6491,2,5
5,shaeds,407:6472,407:6481,407:6491,3,1
5,shaeds,407:6472,407:6481,407:6491,4,5
5,shaeds,407:6472,407:6481,407:6491,5,4
5,shaeds,407:6472,407:6481,407:6491,6,4
5,shaeds,407:6472,407:6481,407:6491,7,5
5,shaeds,407:6472,407:6481,407:6491,8,5
5,shaeds,407:6472,407:6481,407:6491,9,4
5,shaeds,407:6472,407:6481,407:6491,10,5
5,shaeds,407:6472,407:6481,407:6491,11,2
5,shaeds,407:6472,407:6481,407:6491,12,3
5,shaeds,407:6472,407:6481,407:6491,13,4
5,shaeds,407:6472,407:6481,407:6491,14,5
5,shaeds,407:6472,407:6481,407:6491,15,4
5,shaeds,407:6472,407:6481,407:6491,16,2
5,shaeds,407:6472,407:6481,407:6491,17,5
5,shaeds,407:6472,407:6481,407:6491,18,1
5,shaeds,407:6472,407:6481,407:6491,19,2
5,shaeds,407:6472,407:6481,407:6491,20,5
5,shaeds,407:6472,407:6481,407:6491,21,4
5,shaeds,407:6472,407:6481,407:6491,22,5
5,shaeds,407:6472,407:6481,407:6491,23,5
5,shaeds,407:6472,407:6481,407:6491,24,4
5,shaeds,407:6472,407:6481,407:6491,25,5
5,shaeds,407:6472,407:6481,407:6491,26,4
5,shaeds,407:6472,407:6481,407:6491,27,1
5,shaeds,407:6472,407:6481,407:6491,28,3
5,shaeds,407:6472,407:6481,407:6491,29,1
5,shaeds,407:6472,407:6481,407:6491,30,2
5,shaeds,407:6472,407:6481,407:6491,31,5
5,shaeds,407:6472,407:6481,407:6491,32,3
5,shaeds,407:6472,407:6481,407:6491,33,5
5,shaeds,407:6472,407:6481,407:6491,34,5
5,shaeds,407:6472,407:6481,407:6491,35,4
5,shaeds,407:6472,407:6481,407:6491,36,1
6,shaeds,407:6472,407:6489,407:6430,1,5
6,shaeds,407:6472,407:6489,407:6430,2,5
6,shaeds,407:6472,407:6489,407:6430,3,5
6,shaeds,407:6472,407:6489,407:6430,4,5
6,shaeds,407:6472,407:6489,407:6430,5,5
6,shaeds,407:6472,407:6489,407:6430,6,5
6,shaeds,407:6472,407:6489,407:6430,7,4
6,shaeds,407:6472,407:6489,407:6430,8,5
6,shaeds,407:6472,407:6489,407:6430,9,4
6,shaeds,407:6472,407:6489,407:6430,10,5
6,shaeds,407:6472,407:6489,407:6430,11,5
6,shaeds,407:6472,407:6489,407:6430,12,4
6,shaeds,407:6472,407:6489,407:6430,13,5
6,shaeds,407:6472,407:6489,407:6430,14,5
6,shaeds,407:6472,407:6489,407:6430,15,5
6,shaeds,407:6472,407:6489,407:6430,16,5
6,shaeds,407:6472,407:6489,407:6430,17,5
6,shaeds,407:6472,407:6489,407:6430,18,5
6,shaeds,407:6472,407:6489,407:6430,19,5
6,shaeds,407:6472,407:6489,407:6430,20,4
6,shaeds,407:6472,407:6489,407:6430,21,5
6,shaeds,407:6472,407:6489,407:6430,22,3
6,shaeds,407:6472,407:6489,407:6430,23,5
6,shaeds,407:6472,407:6489,407:6430,24,4
6,shaeds,407:6472,407:6489,407:6430,25,5
6,shaeds,407:6472,407:6489,407:6430,26,2
6,shaeds,407:6472,407:6489,407:6430,27,1
6,shaeds,407:6472,407:6489,407:6430,28,5
6,shaeds,407:6472,407:6489,407:6430,29,5
6,shaeds,407:6472,407:6489,407:6430,30,5
6,shaeds,407:6472,407:6489,407:6430,31,5
6,shaeds,407:6472,407:6489,407:6430,32,5
6,shaeds,407:6472,407:6489,407:6430,33,5
6,shaeds,407:6472,407:6489,407:6430,34,5
6,shaeds,407:6472,407:6489,407:6430,35,4
6,shaeds,407:6472,407:6489,407:6430,36,5
7,shaeds,407:6430,407:6463,407:6472,1,3
7,shaeds,407:6430,407:6463,407:6472,2,5
7,shaeds,407:6430,407:6463,407:6472,3,5
7,shaeds,407:6430,407:6463,407:6472,4,5
7,shaeds,407:6430,407:6463,407:6472,5,4
7,shaeds,407:6430,407:6463,407:6472,6,5
7,shaeds,407:6430,407:6463,407:6472,7,5
7,shaeds,407:6430,407:6463,407:6472,8,4
7,shaeds,407:6430,407:6463,407:6472,9,4
7,shaeds,407:6430,407:6463,407:6472,10,5
7,shaeds,407:6430,407:6463,407:6472,11,4
7,shaeds,407:6430,407:6463,407:6472,12,5
7,shaeds,407:6430,407:6463,407:6472,13,4
7,shaeds,407:6430,407:6463,407:6472,14,5
7,shaeds,407:6430,407:6463,407:6472,15,4
7,shaeds,407:6430,407:6463,407:6472,16,4
7,shaeds,407:6430,407:6463,407:6472,17,1
7,shaeds,407:6430,407:6463,407:6472,18,2
7,shaeds,407:6430,407:6463,407:6472,19,4
7,shaeds,407:6430,407:6463,407:6472,20,3
7,shaeds,407:6430,407:6463,407:6472,21,3
7,shaeds,407:6430,407:6463,407:6472,22,4
7,shaeds,407:6430,407:6463,407:6472,23,3
7,shaeds,407:6430,407:6463,407:6472,24,4
7,shaeds,407:6430,407:6463,407:6472,25,5
7,shaeds,407:6430,407:6463,407:6472,26,4
7,shaeds,407:6430,407:6463,407:6472,27,3
7,shaeds,407:6430,407:6463,407:6472,28,5
7,shaeds,407:6430,407:6463,407:6472,29,5
7,shaeds,407:6430,407:6463,407:6472,30,4
7,shaeds,407:6430,407:6463,407:6472,31,2
7,shaeds,407:6430,407:6463,407:6472,32,4
7,shaeds,407:6430,407:6463,407:6472,33,5
7,shaeds,407:6430,407:6463,407:6472,34,5
7,shaeds,407:6430,407:6463,407:6472,35,4
7,shaeds,407:6430,407:6463,407:6472,36,1
8,shaeds,407:6430,407:6432,407:6472,1,5
8,shaeds,407:6430,407:6432,407:6472,2,5
8,shaeds,407:6430,407:6432,407:6472,3,5
8,shaeds,407:6430,407:6432,407:6472,4,4
8,shaeds,407:6430,407:6432,407:6472,5,2
8,shaeds,407:6430,407:6432,407:6472,6,3
8,shaeds,407:6430,407:6432,407:6472,7,3
8,shaeds,407:6430,407:6432,407:6472,8,5
8,shaeds,407:6430,407:6432,407:6472,9,2
8,shaeds,407:6430,407:6432,407:6472,10,5
8,shaeds,407:6430,407:6432,407:6472,11,5
8,shaeds,407:6430,407:6432,407:6472,12,5
8,shaeds,407:6430,407:6432,407:6472,13,5
8,shaeds,407:6430,407:6432,407:6472,14,5
8,shaeds,407:6430,407:6432,407:6472,15,4
8,shaeds,407:6430,407:6432,407:6472,16,5
8,shaeds,407:6430,407:6432,407:6472,17,5
8,shaeds,407:6430,407:6432,407:6472,18,5
8,shaeds,407:6430,407:6432,407:6472,19,5
8,shaeds,407:6430,407:6432,407:6472,20,5
8,shaeds,407:6430,407:6432,407:6472,21,5
8,shaeds,407:6430,407:6432,407:6472,22,5
8,shaeds,407:6430,407:6432,407:6472,23,5
8,shaeds,407:6430,407:6432,407:6472,24,5
8,shaeds,407:6430,407:6432,407:6472,25,5
8,shaeds,407:6430,407:6432,407:6472,26,5
8,shaeds,407:6430,407:6432,407:6472,27,5
8,shaeds,407:6430,407:6432,407:6472,28,5
8,shaeds,407:6430,407:6432,407:6472,29,5
8,shaeds,407:6430,407:6432,407:6472,30,4
8,shaeds,407:6430,407:6432,407:6472,31,5
8,shaeds,407:6430,407:6432,407:6472,32,5
8,shaeds,407:6430,407:6432,407:6472,33,4
8,shaeds,407:6430,407:6432,407:6472,34,5
8,shaeds,407:6430,407:6432,407:6472,35,5
8,shaeds,407:6430,407:6432,407:6472,36,5
9,shaeds,407:6513,407:6528,407:6472,1,5
9,shaeds,407:6513,407:6528,407:6472,2,5
9,shaeds,407:6513,407:6528,407:6472,3,5
9,shaeds,407:6513,407:6528,407:6472,4,5
9,shaeds,407:6513,407:6528,407:6472,5,5
9,shaeds,407:6513,407:6528,407:6472,6,5
9,shaeds,407:6513,407:6528,407:6472,7,5
9,shaeds,407:6513,407:6528,407:6472,8,5
9,shaeds,407:6513,407:6528,407:6472,9,3
9,shaeds,407:6513,407:6528,407:6472,10,5
9,shaeds,407:6513,407:6528,407:6472,11,5
9,shaeds,407:6513,407:6528,407:6472,12,5
9,shaeds,407:6513,407:6528,407:6472,13,5
9,shaeds,407:6513,407:6528,407:6472,14,4
9,shaeds,407:6513,407:6528,407:6472,15,5
9,shaeds,407:6513,407:6528,407:6472,16,5
9,shaeds,407:6513,407:6528,407:6472,17,5
9,shaeds,407:6513,407:6528,407:6472,18,5
9,shaeds,407:6513,407:6528,407:6472,19,4
9,shaeds,407:6513,407:6528,407:6472,20,5
9,shaeds,407:6513,407:6528,407:6472,21,5
9,shaeds,407:6513,407:6528,407:6472,22,5
9,shaeds,407:6513,407:6528,407:6472,23,5
9,shaeds,407:6513,407:6528,407:6472,24,5
9,shaeds,407:6513,407:6528,407:6472,25,5
9,shaeds,407:6513,407:6528,407:6472,26,5
9,shaeds,407:6513,407:6528,407:6472,27,5
9,shaeds,407:6513,407:6528,407:6472,28,3
9,shaeds,407:6513,407:6528,407:6472,29,5
9,shaeds,407:6513,407:6528,407:6472,30,3
9,shaeds,407:6513,407:6528,407:6472,31,5
9,shaeds,407:6513,407:6528,407:6472,32,5
9,shaeds,407:6513,407:6528,407:6472,33,4
9,shaeds,407:6513,407:6528,407:6472,34,5
9,shaeds,407:6513,407:6528,407:6472,35,5
9,shaeds,407:6513,407:6528,407:6472,36,5
10,shaeds,407:6430,407:6451,407:6513,1,1
10,shaeds,407:6430,407:6451,407:6513,2,1
10,shaeds,407:6430,407:6451,407:6513,3,1
10,shaeds,407:6430,407:6451,407:6513,4,1
10,shaeds,407:6430,407:6451,407:6513,5,2
10,shaeds,407:6430,407:6451,407:6513,6,1
10,shaeds,407:6430,407:6451,407:6513,7,1
10,shaeds,407:6430,407:6451,407:6513,8,1
10,shaeds,407:6430,407:6451,407:6513,9,2
10,shaeds,407:6430,407:6451,407:6513,10,1
10,shaeds,407:6430,407:6451,407:6513,11,1
10,shaeds,407:6430,407:6451,407:6513,12,1
10,shaeds,407:6430,407:6451,407:6513,13,1
10,shaeds,407:6430,407:6451,407:6513,14,1
10,shaeds,407:6430,407:6451,407:6513,15,1
10,shaeds,407:6430,407:6451,407:6513,16,1
10,shaeds,407:6430,407:6451,407:6513,17,1
10,shaeds,407:6430,407:6451,407:6513,18,1
10,shaeds,407:6430,407:6451,407:6513,19,1
10,shaeds,407:6430,407:6451,407:6513,20,4
10,shaeds,407:6430,407:6451,407:6513,21,1
10,shaeds,407:6430,407:6451,407:6513,22,1
10,shaeds,407:6430,407:6451,407:6513,23,1
10,shaeds,407:6430,407:6451,407:6513,24,2
10,shaeds,407:6430,407:6451,407:6513,25,1
10,shaeds,407:6430,407:6451,407:6513,26,1
10,shaeds,407:6430,407:6451,407:6513,27,1
10,shaeds,407:6430,407:6451,407:6513,28,1
10,shaeds,407:6430,407:6451,407:6513,29,1
10,shaeds,407:6430,407:6451,407:6513,30,3
10,shaeds,407:6430,407:6451,407:6513,31,1
10,shaeds,407:6430,407:6451,407:6513,32,1
10,shaeds,407:6430,407:6451,407:6513,33,1
10,shaeds,407:6430,407:6451,407:6513,34,1
10,shaeds,407:6430,407:6451,407:6513,35,1
10,shaeds,407:6430,407:6451,407:6513,36,1
11,shaeds,407:6491,407:6508,407:6430,1,1
11,shaeds,407:6491,407:6508,407:6430,2,2
11,shaeds,407:6491,407:6508,407:6430,3,1
11,shaeds,407:6491,407:6508,407:6430,4,1
11,shaeds,407:6491,407:6508,407:6430,5,1
11,shaeds,407:6491,407:6508,407:6430,6,2
11,shaeds,407:6491,407:6508,407:6430,7,1
11,shaeds,407:6491,407:6508,407:6430,8,2
11,shaeds,407:6491,407:6508,407:6430,9,4
11,shaeds,407:6491,407:6508,407:6430,10,1
11,shaeds,407:6491,407:6508,407:6430,11,1
11,shaeds,407:6491,407:6508,407:6430,12,2
11,shaeds,407:6491,407:6508,407:6430,13,1
11,shaeds,407:6491,407:6508,407:6430,14,1
11,shaeds,407:6491,407:6508,407:6430,15,2
11,shaeds,407:6491,407:6508,407:6430,16,1
11,shaeds,407:6491,407:6508,407:6430,17,1
11,shaeds,407:6491,407:6508,407:6430,18,1
11,shaeds,407:6491,407:6508,407:6430,19,2
11,shaeds,407:6491,407:6508,407:6430,20,4
11,shaeds,407:6491,407:6508,407:6430,21,2
11,shaeds,407:6491,407:6508,407:6430,22,1
11,shaeds,407:6491,407:6508,407:6430,23,5
11,shaeds,407:6491,407:6508,407:6430,24,2
11,shaeds,407:6491,407:6508,407:6430,25,1
11,shaeds,407:6491,407:6508,407:6430,26,1
11,shaeds,407:6491,407:6508,407:6430,27,3
11,shaeds,407:6491,407:6508,407:6430,28,1
11,shaeds,407:6491,407:6508,407:6430,29,1
11,shaeds,407:6491,407:6508,407:6430,30,3
11,shaeds,407:6491,407:6508,407:6430,31,2
11,shaeds,407:6491,407:6508,407:6430,32,1
11,shaeds,407:6491,407:6508,407:6430,33,5
11,shaeds,407:6491,407:6508,407:6430,34,2
11,shaeds,407:6491,407:6508,407:6430,35,4
11,shaeds,407:6491,407:6508,407:6430,36,1
12,shaeds,407:6513,407:6536,407:6472,1,5
12,shaeds,407:6513,407:6536,407:6472,2,5
12,shaeds,407:6513,407:6536,407:6472,3,5
12,shaeds,407:6513,407:6536,407:6472,4,2
12,shaeds,407:6513,407:6536,407:6472,5,5
12,shaeds,407:6513,407:6536,407:6472,6,4
12,shaeds,407:6513,407:6536,407:6472,7,2
12,shaeds,407:6513,407:6536,407:6472,8,5
12,shaeds,407:6513,407:6536,407:6472,9,2
12,shaeds,407:6513,407:6536,407:6472,10,4
12,shaeds,407:6513,407:6536,407:6472,11,4
12,shaeds,407:6513,407:6536,407:6472,12,5
12,shaeds,407:6513,407:6536,407:6472,13,5
12,shaeds,407:6513,407:6536,407:6472,14,5
12,shaeds,407:6513,407:6536,407:6472,15,4
12,shaeds,407:6513,407:6536,407:6472,16,5
12,shaeds,407:6513,407:6536,407:6472,17,5
12,shaeds,407:6513,407:6536,407:6472,18,5
12,shaeds,407:6513,407:6536,407:6472,19,2
12,shaeds,407:6513,407:6536,407:6472,20,5
12,shaeds,407:6513,407:6536,407:6472,21,5
12,shaeds,407:6513,407:6536,407:6472,22,5
12,shaeds,407:6513,407:6536,407:6472,23,5
12,shaeds,407:6513,407:6536,407:6472,24,5
12,shaeds,407:6513,407:6536,407:6472,25,5
12,shaeds,407:6513,407:6536,407:6472,26,5
12,shaeds,407:6513,407:6536,407:6472,27,4
12,shaeds,407:6513,407:6536,407:6472,28,4
12,shaeds,407:6513,407:6536,407:6472,29,5
12,shaeds,407:6513,407:6536,407:6472,30,5
12,shaeds,407:6513,407:6536,407:6472,31,5
12,shaeds,407:6513,407:6536,407:6472,32,5
12,shaeds,407:6513,407:6536,407:6472,33,5
12,shaeds,407:6513,407:6536,407:6472,34,4
12,shaeds,407:6513,407:6536,407:6472,35,4
12,shaeds,407:6513,407:6536,407:6472,36,5
13,shaeds,407:6513,407:6541,407:6491,1,1
13,shaeds,407:6513,407:6541,407:6491,2,1
13,shaeds,407:6513,407:6541,407:6491,3,1
13,shaeds,407:6513,407:6541,407:6491,4,2
13,shaeds,407:6513,407:6541,407:6491,5,1
13,shaeds,407:6513,407:6541,407:6491,6,2
13,shaeds,407:6513,407:6541,407:6491,7,1
13,shaeds,407:6513,407:6541,407:6491,8,1
13,shaeds,407:6513,407:6541,407:6491,9,2
13,shaeds,407:6513,407:6541,407:6491,10,1
13,shaeds,407:6513,407:6541,407:6491,11,1
13,shaeds,407:6513,407:6541,407:6491,12,1
13,shaeds,407:6513,407:6541,407:6491,13,1
13,shaeds,407:6513,407:6541,407:6491,14,1
13,shaeds,407:6513,407:6541,407:6491,15,4
13,shaeds,407:6513,407:6541,407:6491,16,1
13,shaeds,407:6513,407:6541,407:6491,17,1
13,shaeds,407:6513,407:6541,407:6491,18,1
13,shaeds,407:6513,407:6541,407:6491,19,2
13,shaeds,407:6513,407:6541,407:6491,20,3
13,shaeds,407:6513,407:6541,407:6491,21,1
13,shaeds,407:6513,407:6541,407:6491,22,1
13,shaeds,407:6513,407:6541,407:6491,23,1
13,shaeds,407:6513,407:6541,407:6491,24,1
13,shaeds,407:6513,407:6541,407:6491,25,1
13,shaeds,407:6513,407:6541,407:6491,26,1
13,shaeds,407:6513,407:6541,407:6491,27,1
13,shaeds,407:6513,407:6541,407:6491,28,1
13,shaeds,407:6513,407:6541,407:6491,29,1
13,shaeds,407:6513,407:6541,407:6491,30,4
13,shaeds,407:6513,407:6541,407:6491,31,1
13,shaeds,407:6513,407:6541,407:6491,32,1
13,shaeds,407:6513,407:6541,407:6491,33,2
13,shaeds,407:6513,407:6541,407:6491,34,1
13,shaeds,407:6513,407:6541,407:6491,35,1
13,shaeds,407:6513,407:6541,407:6491,36,1
14,shaeds,407:6472,407:6483,407:6430,1,2
14,shaeds,407:6472,407:6483,407:6430,2,1
14,shaeds,407:6472,407:6483,407:6430,3,1
14,shaeds,407:6472,407:6483,407:6430,4,1
14,shaeds,407:6472,407:6483,407:6430,5,1
14,shaeds,407:6472,407:6483,407:6430,6,2
14,shaeds,407:6472,407:6483,407:6430,7,1
14,shaeds,407:6472,407:6483,407:6430,8,1
14,shaeds,407:6472,407:6483,407:6430,9,4
14,shaeds,407:6472,407:6483,407:6430,10,4
14,shaeds,407:6472,407:6483,407:6430,11,1
14,shaeds,407:6472,407:6483,407:6430,12,2
14,shaeds,407:6472,407:6483,407:6430,13,1
14,shaeds,407:6472,407:6483,407:6430,14,3
14,shaeds,407:6472,407:6483,407:6430,15,5
14,shaeds,407:6472,407:6483,407:6430,16,1
14,shaeds,407:6472,407:6483,407:6430,17,1
14,shaeds,407:6472,407:6483,407:6430,18,1
14,shaeds,407:6472,407:6483,407:6430,19,1
14,shaeds,407:6472,407:6483,407:6430,20,4
14,shaeds,407:6472,407:6483,407:6430,21,1
14,shaeds,407:6472,407:6483,407:6430,22,2
14,shaeds,407:6472,407:6483,407:6430,23,1
14,shaeds,407:6472,407:6483,407:6430,24,2
14,shaeds,407:6472,407:6483,407:6430,25,1
14,shaeds,407:6472,407:6483,407:6430,26,1
14,shaeds,407:6472,407:6483,407:6430,27,3
14,shaeds,407:6472,407:6483,407:6430,28,1
14,shaeds,407:6472,407:6483,407:6430,29,1
14,shaeds,407:6472,407:6483,407:6430,30,4
14,shaeds,407:6472,407:6483,407:6430,31,1
14,shaeds,407:6472,407:6483,407:6430,32,1
14,shaeds,407:6472,407:6483,407:6430,33,2
14,shaeds,407:6472,407:6483,407:6430,34,1
14,shaeds,407:6472,407:6483,407:6430,35,1
14,shaeds,407:6472,407:6483,407:6430,36,1
15,shaeds,407:6491,407:6494,407:6430,1,1
15,shaeds,407:6491,407:6494,407:6430,2,1
15,shaeds,407:6491,407:6494,407:6430,3,1
15,shaeds,407:6491,407:6494,407:6430,4,1
15,shaeds,407:6491,407:6494,407:6430,5,1
15,shaeds,407:6491,407:6494,407:6430,6,2
15,shaeds,407:6491,407:6494,407:6430,7,1
15,shaeds,407:6491,407:6494,407:6430,8,1
15,shaeds,407:6491,407:6494,407:6430,9,2
15,shaeds,407:6491,407:6494,407:6430,10,1
15,shaeds,407:6491,407:6494,407:6430,11,1
15,shaeds,407:6491,407:6494,407:6430,12,2
15,shaeds,407:6491,407:6494,407:6430,13,1
15,shaeds,407:6491,407:6494,407:6430,14,2
15,shaeds,407:6491,407:6494,407:6430,15,1
15,shaeds,407:6491,407:6494,407:6430,16,1
15,shaeds,407:6491,407:6494,407:6430,17,1
15,shaeds,407:6491,407:6494,407:6430,18,1
15,shaeds,407:6491,407:6494,407:6430,19,2
15,shaeds,407:6491,407:6494,407:6430,20,3
15,shaeds,407:6491,407:6494,407:6430,21,1
15,shaeds,407:6491,407:6494,407:6430,22,2
15,shaeds,407:6491,407:6494,407:6430,23,1
15,shaeds,407:6491,407:6494,407:6430,24,1
15,shaeds,407:6491,407:6494,407:6430,25,1
15,shaeds,407:6491,407:6494,407:6430,26,1
15,shaeds,407:6491,407:6494,407:6430,27,1
15,shaeds,407:6491,407:6494,407:6430,28,1
15,shaeds,407:6491,407:6494,407:6430,29,2
15,shaeds,407:6491,407:6494,407:6430,30,2
15,shaeds,407:6491,407:6494,407:6430,31,1
